country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Angola,16.2M,16.7M,17.3M,17.9M,18.6M,19.3M,20M,20.8M,21.6M,22.4M
Burundi,6.47M,6.63M,6.82M,7.04M,7.31M,7.59M,7.87M,8.16M,8.51M,8.95M
Benin,7.22M,7.45M,7.68M,7.91M,8.16M,8.43M,8.69M,8.95M,9.23M,9.51M
Burkina Faso,11.9M,12.3M,12.7M,13.1M,13.5M,13.9M,14.4M,14.8M,15.3M,15.7M
Botswana,1.68M,1.71M,1.74M,1.78M,1.81M,1.84M,1.87M,1.91M,1.95M,1.99M
Central African Republic,3.83M,3.92M,4.01M,4.1M,4.19M,4.29M,4.38M,4.46M,4.56M,4.53M
Cote d'Ivoire,17.7M,18.2M,18.7M,19.1M,19.6M,20.1M,20.5M,21M,21.5M,22M
Cameroon,14.9M,15.3M,15.7M,16.2M,16.6M,17.1M,17.6M,18M,18.6M,19.1M
"Congo, Dem. Rep.",50.5M,52.1M,53.8M,55.3M,57M,58.8M,60.6M,62.5M,64.4M,66.4M
"Congo, Rep.",3.15M,3.27M,3.35M,3.45M,3.57M,3.7M,3.84M,3.98M,4.11M,4.28M
Comoros,536k,547k,559k,570k,581k,593k,605k,617k,629k,642k
Cape Verde,453k,460k,467k,473k,479k,485k,491k,496k,501k,506k
Djibouti,747k,771k,796k,814k,826k,839k,856k,875k,893k,912k
Algeria,30.9M,31.3M,31.8M,32.2M,32.6M,33.1M,33.6M,34.2M,34.8M,35.5M
Egypt,73.1M,74.7M,76.2M,77.9M,79.5M,81.1M,82.7M,84.3M,85.9M,87.5M
Eritrea,2.25M,2.31M,2.39M,2.49M,2.6M,2.66M,2.7M,2.74M,2.82M,2.89M
Ethiopia,67.4M,69.5M,71.6M,73.8M,76.1M,78.4M,80.7M,83.1M,85.5M,88M
Gabon,1.28M,1.31M,1.35M,1.38M,1.42M,1.46M,1.51M,1.56M,1.61M,1.66M
Ghana,19.6M,20.2M,20.7M,21.3M,21.9M,22.4M,23M,23.6M,24.2M,24.9M
Guinea,8.43M,8.54M,8.67M,8.87M,9.06M,9.25M,9.44M,9.66M,9.9M,10.1M
Gambia,1.46M,1.5M,1.54M,1.58M,1.62M,1.67M,1.72M,1.77M,1.82M,1.87M
Guinea-Bissau,1.23M,1.26M,1.29M,1.32M,1.35M,1.38M,1.42M,1.45M,1.49M,1.53M
Equatorial Guinea,703k,750k,798k,848k,900k,947k,990k,1.04M,1.08M,1.14M
Kenya,30.6M,31.6M,32.6M,33.7M,34.7M,35.8M,36.9M,38M,39.2M,40.4M
Liberia,2.93M,3.02M,3.09M,3.12M,3.16M,3.3M,3.49M,3.67M,3.82M,3.94M
Libya,5.31M,5.4M,5.51M,5.62M,5.74M,5.86M,5.98M,6.1M,6.24M,6.37M
