country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Angola,9200,10k,11k,12k,12k,13k,13k,13k,12k,11k
Burundi,14k,14k,15k,15k,15k,15k,15k,15k,15k,15k
Benin,3000,3100,3300,3500,3600,3700,3500,3200,3100,2700
Burkina Faso,15k,15k,14k,14k,13k,12k,10k,9300,8300,7100
Botswana,13k,15k,16k,17k,15k,12k,10k,9200,7900,5800
Central African Republic,14k,15k,15k,16k,16k,15k,15k,14k,12k,11k
Cote d'Ivoire,48k,51k,52k,53k,53k,50k,47k,45k,41k,36k
Cameroon,27k,31k,33k,35k,36k,38k,39k,38k,37k,37k
"Congo, Rep.",5700,5800,5800,5900,5900,5700,5100,4800,5000,5100
Djibouti,600,600,600,600,600,600,600,600,1000,1000
Eritrea,1600,1800,2000,2100,2200,2200,2000,1800,1700,1700
Gabon,1800,2000,2300,2500,2500,2300,2300,2500,2500,2400
Ghana,15k,16k,18k,19k,20k,20k,20k,20k,19k,18k
Guinea,6100,6300,6500,6600,6700,6400,5900,5200,5000,4700
Gambia,120,300,300,300,300,300,300,600,600,600
Guinea-Bissau,600,600,600,600,1100,1200,1300,1300,1200,1200
Kenya,120k,120k,130k,130k,130k,120k,110k,99k,91k,80k
Lesotho,12k,14k,16k,18k,19k,19k,18k,16k,14k,14k
Mali,6900,7200,7400,7400,7100,6100,5200,4700,4700,4400
Mozambique,36k,43k,50k,58k,65k,71k,74k,74k,73k,74k
Malawi,59k,63k,67k,71k,74k,77k,75k,68k,62k,55k
Namibia,7200,8600,10k,11k,12k,13k,12k,10k,8200,6600
Niger,2900,3200,3400,3700,4000,4200,4300,4300,4400,4500
Nigeria,130k,150k,170k,190k,210k,210k,220k,220k,220k,210k
Rwanda,21k,21k,21k,21k,21k,20k,16k,12k,9600,8500
Senegal,1200,1400,1500,1600,1700,1800,1600,1700,1800,2000
Sierra Leone,600,600,1100,1400,1700,2000,2200,2500,2700,2800
Eswatini,5700,6700,7700,8500,9300,9900,9800,9200,8600,8100
Togo,5600,6400,7100,7600,8000,7900,8000,8400,8300,7700
Tanzania,120k,130k,130k,130k,130k,130k,130k,120k,100k,96k
Uganda,100k,100k,97k,93k,89k,82k,74k,74k,74k,69k
South Africa,160k,210k,260k,300k,340k,370k,390k,390k,380k,340k
Zambia,66k,68k,69k,71k,70k,65k,60k,49k,42k,45k
Zimbabwe,150k,150k,160k,160k,150k,150k,140k,130k,110k,98k
