country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Angola,120k,130k,140k,150k,160k,170k,180k,190k,200k,210k
Burundi,140k,130k,130k,120k,110k,110k,100k,99k,94k,89k
Benin,67k,66k,64k,62k,61k,60k,60k,60k,60k,61k
Burkina Faso,160k,150k,150k,140k,140k,130k,130k,130k,120k,120k
Botswana,260k,270k,270k,280k,280k,280k,280k,280k,290k,290k
Central African Republic,170k,170k,170k,160k,160k,150k,150k,140k,140k,130k
Cote d'Ivoire,580k,560k,540k,520k,490k,470k,440k,420k,400k,380k
Cameroon,420k,450k,470k,490k,500k,520k,530k,540k,540k,550k
"Congo, Rep.",74k,74k,74k,74k,74k,74k,75k,76k,77k,79k
Djibouti,12k,12k,12k,12k,11k,11k,11k,10k,10k,9700
Eritrea,22k,23k,24k,24k,24k,24k,24k,24k,24k,23k
Ethiopia,1.3M,1.3M,1.3M,1.2M,1.2M,1.1M,1.1M,990k,930k,870k
Gabon,32k,35k,38k,39k,41k,42k,43k,44k,45k,45k
Ghana,240k,250k,250k,260k,260k,250k,250k,250k,240k,240k
Guinea,69k,72k,75k,77k,78k,80k,81k,82k,83k,83k
Gambia,4800,5700,6700,7700,8800,9800,11k,11k,12k,13k
Guinea-Bissau,8600,9800,11k,12k,14k,15k,16k,17k,19k,20k
Kenya,1.6M,1.6M,1.6M,1.6M,1.5M,1.5M,1.5M,1.5M,1.5M,1.6M
Lesotho,250k,250k,260k,270k,270k,270k,280k,290k,290k,300k
Mali,110k,110k,110k,110k,110k,110k,110k,100k,100k,110k
Mozambique,760k,850k,930k,1M,1.1M,1.1M,1.2M,1.2M,1.3M,1.3M
Malawi,830k,860k,890k,910k,920k,930k,930k,930k,920k,920k
Namibia,150k,160k,170k,180k,180k,180k,180k,180k,180k,190k
Niger,42k,45k,47k,49k,51k,53k,55k,57k,59k,61k
Nigeria,2.4M,2.5M,2.6M,2.7M,2.8M,2.8M,2.9M,3M,3.1M,3.2M
Rwanda,230k,220k,220k,210k,210k,200k,200k,200k,200k,200k
Senegal,21k,24k,27k,30k,32k,35k,38k,41k,43k,46k
Sierra Leone,18k,21k,25k,30k,34k,38k,41k,44k,45k,47k
Eswatini,110k,120k,130k,140k,150k,160k,160k,170k,170k,180k
Togo,120k,120k,130k,140k,140k,140k,150k,150k,150k,150k
Tanzania,1.5M,1.4M,1.4M,1.4M,1.4M,1.4M,1.4M,1.4M,1.4M,1.5M
Uganda,1M,990k,980k,990k,1M,1M,1.1M,1.1M,1.2M,1.3M
South Africa,4M,4.4M,4.7M,4.9M,5M,5.2M,5.2M,5.3M,5.4M,5.4M
Zambia,840k,860k,880k,900k,910k,920k,920k,930k,940k,950k
Zimbabwe,1.9M,1.8M,1.7M,1.7M,1.6M,1.5M,1.4M,1.3M,1.3M,1.2M
