country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Angola,19k,20k,21k,22k,23k,23k,24k,24k,24k,24k
Burundi,7300,6900,6900,7200,7400,6900,6000,5100,4400,3700
Benin,5500,5300,5100,5000,5000,5100,4800,4800,4900,4900
Burkina Faso,13k,13k,12k,8500,7900,7300,6900,6900,7000,8000
Botswana,28k,26k,24k,22k,19k,17k,16k,16k,15k,14k
Central African Republic,15k,14k,13k,11k,10k,9200,8100,6800,6000,5200
Cote d'Ivoire,50k,46k,42k,38k,35k,30k,27k,24k,21k,17k
Cameroon,59k,57k,58k,58k,56k,54k,52k,50k,47k,46k
"Congo, Rep.",7300,7500,7500,7500,7500,7100,6600,6500,6600,6500
Djibouti,1300,1300,1300,1300,1200,1200,1200,1300,1300,1300
Eritrea,2600,2400,2300,2200,2100,1900,1600,1500,1400,1300
Ethiopia,140k,130k,110k,85k,70k,60k,50k,42k,36k,32k
Gabon,5000,4900,4800,4500,4300,4000,3700,3500,3500,3400
Ghana,28k,28k,27k,26k,23k,21k,20k,18k,17k,15k
Guinea,7700,7700,7700,7700,7700,7500,7000,6400,6400,6200
Gambia,1100,1200,1400,1500,1600,1600,1600,1500,1500,1400
Guinea-Bissau,1700,1800,1900,2100,2200,2300,2500,2600,2700,2700
Kenya,140k,140k,130k,130k,130k,120k,120k,130k,120k,120k
Lesotho,27k,26k,26k,27k,28k,29k,29k,29k,29k,28k
Mali,13k,12k,12k,12k,12k,11k,11k,10k,9800,9500
Mozambique,140k,150k,160k,150k,150k,150k,140k,140k,130k,130k
Malawi,100k,100k,100k,100k,96k,90k,82k,73k,63k,58k
Namibia,24k,23k,20k,17k,15k,14k,12k,11k,11k,10k
Niger,6100,6200,6200,6200,6400,6600,6700,6700,6800,6800
Nigeria,330k,310k,300k,290k,290k,300k,320k,330k,340k,360k
Rwanda,21k,19k,18k,18k,18k,17k,14k,14k,14k,13k
Senegal,5100,5500,5800,6100,6000,6100,6200,6300,6500,6000
Sierra Leone,4000,4500,5000,5500,5800,6000,5900,5400,4500,4300
Eswatini,19k,19k,19k,19k,18k,18k,17k,16k,16k,15k
Togo,12k,12k,11k,11k,11k,11k,11k,11k,11k,10k
Tanzania,140k,140k,140k,140k,140k,140k,140k,140k,140k,140k
Uganda,94k,99k,100k,110k,120k,120k,130k,140k,150k,150k
South Africa,660k,610k,560k,520k,500k,480k,470k,460k,450k,430k
Zambia,90k,92k,94k,96k,96k,93k,88k,81k,72k,76k
Zimbabwe,160k,140k,130k,110k,110k,110k,100k,100k,100k,95k
